Rank,College Name,Location,Median SAT,Median ACT,Est. price 2019-20 without aid,Est. price 2019-20 with avg. grant,% of students who get any grants,Average student debt,Early career earnings
74,San Diego State University,San Diego. CA,1190,26,29.500,14.300,0.52,15.000,53.400
75,California Polytechnic State University-San Luis Obispo,San Luis Obispo. CA,1290,29,28.400,20.300,0.52,18.630,63.500
75,Montclair State University,Montclair. NJ,1070,NA,31.700,16.300,0.48,23.000,49.100
77,University of Chicago,Chicago. IL,1530,34,79.100,37.200,0.63,15.900,61.600
78,Clemson University,Clemson. SC,1310,29,30.900,20.000,0.73,21.500,56.300
79,Boston College,Chestnut Hill. MA,1410,32,73.700,29.100,0.45,19.000,61.600
80,National Louis University,Chicago. IL,NA,NA,33.100,16.400,0.78,19.500,47.300
81,Columbia University in the City of New York,New York. NY,1490,33,77.500,24.400,0.58,21.410,69.200
82,Bowdoin College,Brunswick. ME,NA,NA,71.100,26.100,0.5,18.650,59.700
82,Washington University in St Louis,Saint Louis. MO,1520,33,75.200,29.700,0.48,19.500,62.700
84,University of Minnesota-Twin Cities,Minneapolis. MN,1380,29,28.700,17.900,0.61,20.000,55.800
85,SUNY at Albany,Albany. NY,1170,24,26.800,17.200,0.61,20.500,51.500
86,St. Joseph's College-New York,Brooklyn. NY,960,20,40.800,17.200,0.86,20.010,45.700
87,Davidson College,Davidson. NC,1390,32,69.600,30.300,0.72,18.220,55.000
88,Bentley University,Waltham. MA,1300,29,69.100,39.100,0.65,26.000,64.600
89,Wellesley College,Wellesley. MA,1450,32,72.100,21.600,0.59,10.000,56.600
90,Tufts University,Medford. MA,1480,33,73.700,31.400,0.41,17.500,63.200
91,Cornell University,Ithaca. NY,1470,33,73.400,33.600,0.53,12.740,68.200
92,Citadel Military College of South Carolina,Charleston. SC,1120,23,30.000,18.200,0.63,22.490,58.800
93,California State University-Channel Islands,Camarillo. CA,NA,NA,29.900,15.800,0.69,15.000,49.300
94,Barnard College,New York. NY,1410,32,74.500,25.300,0.46,18.000,56.800
95,Dartmouth College,Hanover. NH,1500,32,75.000,23.800,0.54,14.820,68.900
96,California State University-Dominguez Hills,Carson. CA,NA,NA,23.400,5.300,0.79,13.740,47.400
97,Indiana University-Bloomington,Bloomington. IN,1250,28,25.500,13.300,0.61,21.500,52.200
98,Wake Forest University,Winston-Salem. NC,NA,NA,72.200,25.600,0.48,23.810,58.200
99,University at Buffalo,Buffalo. NY,1170,26,27.300,17.200,0.55,19.500,52.600
100,CUNY Queens College,Queens. NY,1140,NA,29.600,5.100,0.51,10.700,50.900
101,Claremont McKenna College,Claremont. CA,1430,32,74.900,30.600,0.46,14.500,66.800
102,Florida State University,Tallahassee. FL,1260,28,22.700,17.600,0.88,20.250,49.000
103,University of California-Santa Cruz,Santa Cruz. CA,1250,29,37.600,17.900,0.69,19.700,56.100
104,San Jose State University,San Jose. CA,1110,23,29.400,14.800,0.61,15.000,61.300
104,Ramapo College of New Jersey,Mahwah. NJ,1140,24,32.200,17.700,0.42,22.500,50.100
106,St Lawrence University,Canton. NY,1290,28,71.300,36.500,0.96,26.790,53.800
107,Towson University,Towson. MD,1130,23,27.500,16.300,0.49,17.750,49.800
108,Iowa State University,Ames. IA,1290,25,21.500,14.900,0.69,23.260,54.900
109,University of Massachusetts-Amherst,Amherst. MA,1270,29,31.400,22.700,0.71,23.450,55.800
110,CUNY Lehman College,Bronx. NY,1040,NA,28.300,3.100,0.59,9.990,46.600
111,Lehigh University,Bethlehem. PA,1350,31,68.900,28.700,0.5,23.580,67.200
112,California State University Maritime Academy,Vallejo. CA,NA,NA,29.300,15.600,0.52,26.000,67.500
113,University of Richmond,Richmond. VA,1370,31,67.800,26.200,0.63,21.060,57.900
114,Juniata College,Huntingdon. PA,NA,NA,60.800,27.900,1.0,27.000,50.100
115,CUNY City College,New York. NY,1140,NA,30.600,4.400,0.64,11.580,53.000
116,College of Saint Benedict,Saint Joseph. MN,1120,25,59.400,28.700,1.0,27.000,47.900
117,University of Iowa,Iowa City. IA,1260,26,23.600,15.800,0.63,21.500,52.500
117,University of New Hampshire,Durham. NH,1170,26,34.500,24.400,0.61,27.000,52.600
119,University of Georgia,Athens. GA,1290,29,27.600,17.000,0.85,18.750,52.600
120,Carnegie Mellon University,Pittsburgh. PA,1500,34,73.200,31.800,0.52,26.460,73.600
121,Colorado School of Mines,Golden. CO,1380,30,35.100,27.200,0.72,25.000,74.100
122,Siena College,Loudonville. NY,NA,NA,56.300,29.800,0.92,26.900,52.100
123,Rockhurst University,Kansas City. MO,1140,25,53.900,24.900,0.7,21.500,54.600
124,Colby College,Waterville. ME,1420,32,71.600,21.700,0.46,19.170,57.800
125,Johns Hopkins University,Baltimore. MD,1510,34,73.000,31.000,0.51,13.500,65.500
126,Haverford College,Haverford. PA,1460,33,74.800,25.200,0.49,13.000,56.100
127,Emory University,Atlanta. GA,1440,32,69.900,28.700,0.55,19.250,59.900
128,CUNY Hunter College,New York. NY,1210,NA,23.000,5.600,0.58,11.600,50.900
129,Illinois State University,Normal. IL,NA,24,30.200,20.500,0.53,21.250,49.700
129,Simmons College,Boston. MA,1220,27,60.800,31.700,0.93,25.000,52.800
131,University of Southern California,Los Angeles. CA,1400,32,75.400,35.100,0.59,22.120,62.000
132,Lake Forest College,Lake Forest. IL,NA,NA,61.300,27.400,0.96,27.000,53.700
133,St Olaf College,Northfield. MN,1280,28,60.900,29.400,0.9,27.000,51.900
